DATE,PCETRIM12M159SFRBDAL
1978-01-01,5.7
1978-02-01,5.57
1978-03-01,5.55
1978-04-01,5.71
1978-05-01,5.9
1978-06-01,5.91
1978-07-01,5.99
1978-08-01,6.04
1978-09-01,6.22
1978-10-01,6.55
1978-11-01,6.65
1978-12-01,6.71
1979-01-01,7.03
1979-02-01,7.22
1979-03-01,7.25
1979-04-01,7.26
1979-05-01,7.35
1979-06-01,7.4
1979-07-01,7.5
1979-08-01,7.68
1979-09-01,7.8
1979-10-01,7.89
1979-11-01,7.89
1979-12-01,8.04
1980-01-01,8.15
1980-02-01,8.35
1980-03-01,8.6
1980-04-01,8.55
1980-05-01,8.56
1980-06-01,8.72
1980-07-01,8.6
1980-08-01,8.57
1980-09-01,8.66
1980-10-01,8.57
1980-11-01,8.64
1980-12-01,8.64
1981-01-01,8.59
1981-02-01,8.59
1981-03-01,8.41
1981-04-01,8.5
1981-05-01,8.32
1981-06-01,8.07
1981-07-01,8.1
1981-08-01,8.01
1981-09-01,7.82
1981-10-01,7.62
1981-11-01,7.41
1981-12-01,7.14
1982-01-01,6.83
1982-02-01,6.38
1982-03-01,6.2
1982-04-01,5.86
1982-05-01,5.77
1982-06-01,5.74
1982-07-01,5.76
1982-08-01,5.49
1982-09-01,5.13
1982-10-01,5.06
1982-11-01,4.78
1982-12-01,4.61
1983-01-01,4.63
1983-02-01,4.57
1983-03-01,4.33
1983-04-01,4.47
1983-05-01,4.24
1983-06-01,4.06
1983-07-01,3.79
1983-08-01,3.7
1983-09-01,3.79
1983-10-01,3.56
1983-11-01,3.67
1983-12-01,3.63
1984-01-01,3.58
1984-02-01,3.64
1984-03-01,3.79
1984-04-01,3.78
1984-05-01,3.7
1984-06-01,3.71
1984-07-01,3.8
1984-08-01,3.88
1984-09-01,3.86
1984-10-01,3.94
1984-11-01,3.77
1984-12-01,3.88
1985-01-01,3.73
1985-02-01,3.82
1985-03-01,3.82
1985-04-01,3.61
1985-05-01,3.69
1985-06-01,3.75
1985-07-01,3.55
1985-08-01,3.54
1985-09-01,3.5
1985-10-01,3.46
1985-11-01,3.61
1985-12-01,3.62
1986-01-01,3.72
1986-02-01,3.47
1986-03-01,3.28
1986-04-01,3.33
1986-05-01,3.26
1986-06-01,3.24
1986-07-01,3.27
1986-08-01,3.19
1986-09-01,3.2
1986-10-01,3.27
1986-11-01,3.2
1986-12-01,3.13
1987-01-01,3.16
1987-02-01,3.22
1987-03-01,3.41
1987-04-01,3.57
1987-05-01,3.66
1987-06-01,3.6
1987-07-01,3.59
1987-08-01,3.74
1987-09-01,3.71
1987-10-01,3.73
1987-11-01,3.72
1987-12-01,3.63
1988-01-01,3.62
1988-02-01,3.57
1988-03-01,3.56
1988-04-01,3.51
1988-05-01,3.49
1988-06-01,3.59
1988-07-01,3.77
1988-08-01,3.71
1988-09-01,3.87
1988-10-01,3.82
1988-11-01,3.87
1988-12-01,4.01
1989-01-01,4.05
1989-02-01,4.15
1989-03-01,4.16
1989-04-01,4.16
1989-05-01,4.24
1989-06-01,4.13
1989-07-01,4.04
1989-08-01,3.95
1989-09-01,3.8
1989-10-01,3.94
1989-11-01,3.92
1989-12-01,3.94
1990-01-01,3.85
1990-02-01,3.82
1990-03-01,3.95
1990-04-01,3.9
1990-05-01,3.8
1990-06-01,3.94
1990-07-01,3.96
1990-08-01,4.14
1990-09-01,4.13
1990-10-01,4.01
1990-11-01,3.88
1990-12-01,3.84
1991-01-01,3.82
1991-02-01,3.73
1991-03-01,3.43
1991-04-01,3.35
1991-05-01,3.45
1991-06-01,3.23
1991-07-01,3.1
1991-08-01,2.91
1991-09-01,2.9
1991-10-01,2.83
1991-11-01,2.97
1991-12-01,3.0
1992-01-01,2.88
1992-02-01,2.9
1992-03-01,2.99
1992-04-01,2.94
1992-05-01,2.8
1992-06-01,2.8
1992-07-01,2.82
1992-08-01,2.75
1992-09-01,2.61
1992-10-01,2.64
1992-11-01,2.61
1992-12-01,2.5
1993-01-01,2.5
1993-02-01,2.51
1993-03-01,2.45
1993-04-01,2.52
1993-05-01,2.57
1993-06-01,2.53
1993-07-01,2.5
1993-08-01,2.49
1993-09-01,2.53
1993-10-01,2.49
1993-11-01,2.43
1993-12-01,2.4
1994-01-01,2.36
1994-02-01,2.35
1994-03-01,2.41
1994-04-01,2.3
1994-05-01,2.27
1994-06-01,2.34
1994-07-01,2.35
1994-08-01,2.34
1994-09-01,2.32
1994-10-01,2.26
1994-11-01,2.28
1994-12-01,2.25
1995-01-01,2.35
1995-02-01,2.29
1995-03-01,2.25
1995-04-01,2.31
1995-05-01,2.27
1995-06-01,2.19
1995-07-01,2.17
1995-08-01,2.22
1995-09-01,2.23
1995-10-01,2.32
1995-11-01,2.28
1995-12-01,2.32
1996-01-01,2.26
1996-02-01,2.26
1996-03-01,2.26
1996-04-01,2.23
1996-05-01,2.25
1996-06-01,2.29
1996-07-01,2.32
1996-08-01,2.31
1996-09-01,2.37
1996-10-01,2.34
1996-11-01,2.4
1996-12-01,2.38
1997-01-01,2.35
1997-02-01,2.36
1997-03-01,2.31
1997-04-01,2.31
1997-05-01,2.22
1997-06-01,2.22
1997-07-01,2.13
1997-08-01,2.06
1997-09-01,2.05
1997-10-01,1.9
1997-11-01,1.8
1997-12-01,1.73
1998-01-01,1.66
1998-02-01,1.61
1998-03-01,1.65
1998-04-01,1.63
1998-05-01,1.71
1998-06-01,1.64
1998-07-01,1.69
1998-08-01,1.75
1998-09-01,1.7
